rent_euro,year,half,half_year,time_period,county,province,area,location,property_type,bedrooms,bedrooms_num,is_dublin,is_city,is_county_aggregate,latitude,longitude
1646.27,2020,1,2020H1,1,Dublin,Leinster,Sandymount,"Sandymount, Dublin 4",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1256.4,2020,1,2020H1,1,Dublin,Leinster,Dublin 5,Dublin 5,Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1254.34,2020,1,2020H1,1,Dublin,Leinster,Raheny,"Raheny, Dublin 5",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1471.54,2020,1,2020H1,1,Dublin,Leinster,Dublin 6,Dublin 6,Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1437.74,2020,1,2020H1,1,Dublin,Leinster,Harolds Cross,"Harolds Cross, Dublin 6",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1702.01,2020,1,2020H1,1,Dublin,Leinster,Milltown,"Milltown, Dublin 6",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1499.2,2020,1,2020H1,1,Dublin,Leinster,Ranelagh,"Ranelagh, Dublin 6",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1398.21,2020,1,2020H1,1,Dublin,Leinster,Rathgar,"Rathgar, Dublin 6",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1397.93,2020,1,2020H1,1,Dublin,Leinster,Rathmines,"Rathmines, Dublin 6",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1385.93,2020,1,2020H1,1,Dublin,Leinster,Dublin 6W,Dublin 6W,Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1243.54,2020,1,2020H1,1,Dublin,Leinster,Harolds Cross,"Harolds Cross, Dublin 6W",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1436.59,2020,1,2020H1,1,Dublin,Leinster,Terenure,"Terenure, Dublin 6W",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1331.07,2020,1,2020H1,1,Dublin,Leinster,Dublin 7,Dublin 7,Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1203.79,2020,1,2020H1,1,Dublin,Leinster,Cabra,"Cabra, Dublin 7",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1483.1,2020,1,2020H1,1,Dublin,Leinster,Smithfield,"Smithfield, Dublin 7",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1462.89,2020,1,2020H1,1,Dublin,Leinster,Dublin 8,Dublin 8,Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1493.85,2020,1,2020H1,1,Dublin,Leinster,Christchurch,"Christchurch, Dublin 8",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1365.54,2020,1,2020H1,1,Cork,Munster,Cork Street,"Cork Street, Dublin 8",Apartment,One bed,1,FALSE,TRUE,FALSE,51.8985,-8.4756
1268.39,2020,1,2020H1,1,Dublin,Leinster,Inchicore,"Inchicore, Dublin 8",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1642.19,2020,1,2020H1,1,Dublin,Leinster,Islandbridge,"Islandbridge, Dublin 8",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1347.45,2020,1,2020H1,1,Dublin,Leinster,Kilmainham ,"Kilmainham , Dublin 8",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1351.82,2020,1,2020H1,1,Dublin,Leinster,Portobello,"Portobello, Dublin 8",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1286.75,2020,1,2020H1,1,Dublin,Leinster,Rialto,"Rialto, Dublin 8",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1304.04,2020,1,2020H1,1,Dublin,Leinster,South Circular Road,"South Circular Road, Dublin 8",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1306.61,2020,1,2020H1,1,Dublin,Leinster,Dublin 9,Dublin 9,Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1266.59,2020,1,2020H1,1,Dublin,Leinster,Drumcondra,"Drumcondra, Dublin 9",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1201.26,2020,1,2020H1,1,Dublin,Leinster,Glasnevin,"Glasnevin, Dublin 9",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1380.25,2020,1,2020H1,1,Dublin,Leinster,Santry,"Santry, Dublin 9",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1293.1,2020,1,2020H1,1,Dublin,Leinster,Dublin 11,Dublin 11,Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1221.49,2020,1,2020H1,1,Dublin,Leinster,Finglas,"Finglas, Dublin 11",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1283.97,2020,1,2020H1,1,Dublin,Leinster,Dublin 12,Dublin 12,Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1401.05,2020,1,2020H1,1,Dublin,Leinster,Dublin 13,Dublin 13,Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1374.43,2020,1,2020H1,1,Dublin,Leinster,Clongriffin,"Clongriffin, Dublin 13",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1589.91,2020,1,2020H1,1,Dublin,Leinster,Dublin 14,Dublin 14,Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1821.01,2020,1,2020H1,1,Dublin,Leinster,Churchtown,"Churchtown, Dublin 14",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1535.76,2020,1,2020H1,1,Dublin,Leinster,Dundrum,"Dundrum, Dublin 14",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1382.42,2020,1,2020H1,1,Dublin,Leinster,Rathfarnham,"Rathfarnham, Dublin 14",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1340.35,2020,1,2020H1,1,Dublin,Leinster,Dublin 15,Dublin 15,Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1445.73,2020,1,2020H1,1,Dublin,Leinster,Ashtown,"Ashtown, Dublin 15",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1267.49,2020,1,2020H1,1,Dublin,Leinster,Royal Canal Park,"Royal Canal Park, Dublin 15",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1514.88,2020,1,2020H1,1,Dublin,Leinster,Dublin 16,Dublin 16,Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1593.89,2020,1,2020H1,1,Dublin,Leinster,Dundrum,"Dundrum, Dublin 16",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1320.59,2020,1,2020H1,1,Dublin,Leinster,Rathfarnham,"Rathfarnham, Dublin 16",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1223.13,2020,1,2020H1,1,Dublin,Leinster,Dublin 17,Dublin 17,Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1204.92,2020,1,2020H1,1,Dublin,Leinster,Malahide Road,"Malahide Road, Dublin 17",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1514.42,2020,1,2020H1,1,Dublin,Leinster,Dublin 18,Dublin 18,Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1756.65,2020,1,2020H1,1,Dublin,Leinster,Leopardstown,"Leopardstown, Dublin 18",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1508.97,2020,1,2020H1,1,Dublin,Leinster,Sandyford,"Sandyford, Dublin 18",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1435.29,2020,1,2020H1,1,Dublin,Leinster,Stepaside,"Stepaside, Dublin 18",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1271.1,2020,1,2020H1,1,Dublin,Leinster,Dublin 20,Dublin 20,Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1225.08,2020,1,2020H1,1,Dublin,Leinster,Chapelizod,"Chapelizod, Dublin 20",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1206.8,2020,1,2020H1,1,Dublin,Leinster,Clondalkin,"Clondalkin, Dublin 22",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
1200.21,2020,1,2020H1,1,Dublin,Leinster,Dublin 24,Dublin 24,Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
