rent_euro,year,half,half_year,time_period,county,province,area,location,property_type,bedrooms,bedrooms_num,is_dublin,is_city,is_county_aggregate,latitude,longitude,bedrooms_max
1615.83,2020,1,2020H1,1,Dublin,Leinster,Ringsend,"Ringsend, Dublin 4",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1646.27,2020,1,2020H1,1,Dublin,Leinster,Sandymount,"Sandymount, Dublin 4",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1256.4,2020,1,2020H1,1,Dublin,Leinster,Dublin 5,Dublin 5,Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1254.34,2020,1,2020H1,1,Dublin,Leinster,Raheny,"Raheny, Dublin 5",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1471.54,2020,1,2020H1,1,Dublin,Leinster,Dublin 6,Dublin 6,Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1437.74,2020,1,2020H1,1,Dublin,Leinster,Harolds Cross,"Harolds Cross, Dublin 6",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1702.01,2020,1,2020H1,1,Dublin,Leinster,Milltown,"Milltown, Dublin 6",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1499.2,2020,1,2020H1,1,Dublin,Leinster,Ranelagh,"Ranelagh, Dublin 6",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1398.21,2020,1,2020H1,1,Dublin,Leinster,Rathgar,"Rathgar, Dublin 6",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1397.93,2020,1,2020H1,1,Dublin,Leinster,Rathmines,"Rathmines, Dublin 6",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1385.93,2020,1,2020H1,1,Dublin,Leinster,Dublin 6W,Dublin 6W,Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1243.54,2020,1,2020H1,1,Dublin,Leinster,Harolds Cross,"Harolds Cross, Dublin 6W",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1436.59,2020,1,2020H1,1,Dublin,Leinster,Terenure,"Terenure, Dublin 6W",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1331.07,2020,1,2020H1,1,Dublin,Leinster,Dublin 7,Dublin 7,Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1203.79,2020,1,2020H1,1,Dublin,Leinster,Cabra,"Cabra, Dublin 7",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1483.1,2020,1,2020H1,1,Dublin,Leinster,Smithfield,"Smithfield, Dublin 7",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1462.89,2020,1,2020H1,1,Dublin,Leinster,Dublin 8,Dublin 8,Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1493.85,2020,1,2020H1,1,Dublin,Leinster,Christchurch,"Christchurch, Dublin 8",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1365.54,2020,1,2020H1,1,Cork,Munster,Cork Street,"Cork Street, Dublin 8",Apartment,One bed,1.0,False,True,False,51.8985,-8.4756,1
1268.39,2020,1,2020H1,1,Dublin,Leinster,Inchicore,"Inchicore, Dublin 8",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1642.19,2020,1,2020H1,1,Dublin,Leinster,Islandbridge,"Islandbridge, Dublin 8",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1347.45,2020,1,2020H1,1,Dublin,Leinster,Kilmainham ,"Kilmainham , Dublin 8",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1351.82,2020,1,2020H1,1,Dublin,Leinster,Portobello,"Portobello, Dublin 8",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
